state,section_id,count/5min
cong_state1,51413,50.0,2.5
cong_state2,51413,50.0,2.5
cong_state3,51413,50.0,2.5
cong_state4,51413,50.0,2.5
cong_state5,51413,50.0,2.5
cong_state6,51413,50.0,2.5
cong_state7,51413,50.0,2.5
cong_state8,51413,50.0,2.5
cong_state9,51413,50.0,2.5
cong_state10,51413,50.0,2.5
cong_state11,51413,50.0,2.5
cong_state12,51413,50.0,2.5
cong_state13,51413,50.0,2.5
cong_state14,51413,50.0,2.5
cong_state15,51413,50.0,2.5
cong_state16,51413,50.0,2.5
cong_state17,51413,50.0,2.5
cong_state18,51413,50.0,2.5
cong_state19,51413,50.0,2.5
cong_state20,51413,50.0,2.5
cong_state21,51413,50.0,2.5
cong_state22,51413,50.0,2.5
cong_state23,51413,50.0,2.5
cong_state24,51413,50.0,2.5
cong_state25,51413,50.0,2.5
cong_state26,51413,50.0,2.5
cong_state27,51413,50.0,2.5
cong_state28,51413,50.0,2.5
cong_state29,51413,50.0,2.5
cong_state30,51413,50.0,2.5
