0,120.16,1.0
30,102.07,11.0
60,111.82,11.0
90,107.63,11.0
120,99.65,8.0
150,90.29,8.0
180,107.69,11.0
210,106.7,12.0
240,92.39,9.0
270,118.12,8.0
300,108.08,10.0
330,101.57,8.0
360,111.31,10.0
390,103.24,7.0
420,100.89,15.0
450,102.55,13.0
480,97.96,15.0
510,109.44,10.0
540,88.94,13.0
570,109.84,11.0
600,86.14,9.0
630,95.05,11.0
660,75.92,11.0
690,84.1,12.0
720,105.83,11.0
750,95.66,8.0
780,90.21,11.0
810,103.37,10.0
840,98.66,11.0
870,105.13,15.0
900,99.52,10.0
930,95.43,11.0
960,107.1,12.0
990,107.52,8.0
1020,110.65,9.0
1050,102.84,14.0
1080,107.38,10.0
1110,107.96,11.0
1140,112.43,8.0
1170,113.82,10.0
1200,89.08,11.0
1230,109.79,10.0
1260,96.61,10.0
1290,83.74,13.0
1320,112.49,13.0
1350,111.87,13.0
1380,111.93,10.0
1410,99.7,10.0
1440,100.48,13.0
1470,115.08,8.0
1500,98.97,11.0
1530,86.64,10.0
1560,97.75,13.0
1590,105.18,9.0
1620,98.5,10.0
1650,98.19,12.0
1680,104.38,14.0
1710,105.56,7.0
1740,100.22,10.0
1770,107.79,12.0
1800,110.3,10.0
1830,100.15,12.0
1860,92.26,13.0
1890,101.07,10.0
1920,110.05,13.0
1950,95.01,13.0
1980,96.47,11.0
2010,112.09,9.0
2040,99.74,8.0
2070,100.75,10.0
2100,100.24,13.0
2130,90.01,17.0
2160,96.11,14.0
2190,91.98,15.0
2220,99.18,12.0
2250,97.92,11.0
2280,83.92,14.0
2310,91.79,13.0
2340,92.04,15.0
2370,101.9,16.0
2400,84.34,15.0
2430,102.49,12.0
2460,86.86,11.0
2490,83.86,11.0
2520,98.96,9.0
2550,97.93,9.0
2580,101.58,10.0
2610,87.6,14.0
2640,79.21,13.0
2670,80.93,14.0
2700,96.43,14.0
2730,66.57,12.0
2760,93.38,9.0
2790,87.4,15.0
2820,92.79,11.0
2850,93.17,13.0
2880,94.76,14.0
2910,90.89,11.0
2940,94.85,17.0
2970,71.75,10.0
3000,98.13,15.0
3030,102.26,13.0
3060,111.42,11.0
3090,111.58,12.0
3120,98.44,12.0
3150,105.74,9.0
3180,100.11,9.0
3210,91.41,14.0
3240,102.48,14.0
3270,110.21,11.0
3300,74.37,9.0
3330,92.22,14.0
3360,91.04,15.0
3390,97.75,11.0
3420,100.93,12.0
3450,85.95,10.0
3480,74.84,9.0
3510,110.95,9.0
3540,102.69,18.0
3570,100.12,11.0
3600,97.89,13.0
3630,108.04,9.0
3660,99.27,12.0
3690,108.37,9.0
3720,106.94,9.0
3750,108.02,13.0
3780,103.03,13.0
3810,101.71,11.0
3840,109.55,11.0
3870,105.01,9.0
3900,99.08,11.0
3930,100.25,9.0
3960,92.08,11.0
3990,93.01,12.0
4020,93.73,11.0
4050,109.89,12.0
4080,104.33,15.0
4110,97.58,13.0
4140,103.66,9.0
4170,115.77,9.0
4200,107.29,12.0
4230,103.91,10.0
4260,97.47,9.0
4290,111.63,7.0
4320,106.4,8.0
4350,110.79,9.0
4380,104.3,9.0
4410,107.05,10.0
4440,111.28,9.0
4470,100.82,7.0
4500,108.57,7.0
4530,107.09,6.0
4560,108.39,6.0
4590,112.73,6.0
4620,104.19,8.0
4650,110.14,7.0
4680,116.76,8.0
4710,107.96,9.0
4740,103.54,8.0
4770,106.06,4.0
4800,108.14,11.0
4830,111.08,13.0
4860,111.92,9.0
4890,106.94,12.0
4920,108.33,8.0
4950,105.88,7.0
4980,112.18,9.0
5010,113.02,11.0
5040,114.65,8.0
5070,92.6,7.0
5100,119.32,6.0
5130,114.56,5.0
5160,106.75,9.0
5190,115.05,6.0
5220,121.68,3.0
5250,107.67,3.0
5280,104.92,7.0
5310,118.28,6.0
5340,106.5,4.0
5370,110.04,6.0
5400,112.42,9.0
5430,97.67,10.0
5460,108.52,7.0
5490,103.01,9.0
5520,107.94,6.0
5550,108.69,10.0
5580,101.24,8.0
5610,110.19,12.0
5640,113.03,8.0
5670,111.2,6.0
5700,113.84,11.0
5730,114.34,12.0
5760,112.26,7.0
5790,110.93,11.0
5820,103.22,11.0
5850,103.96,14.0
5880,109.94,8.0
5910,101.04,11.0
5940,102.55,8.0
5970,112.74,10.0
6000,105.9,9.0
6030,112.12,7.0
6060,112.26,9.0
6090,98.77,9.0
6120,110.92,10.0
6150,94.4,10.0
6180,100.03,11.0
6210,110.39,7.0
6240,102.22,9.0
6270,110.03,6.0
6300,113.88,11.0
6330,111.15,9.0
6360,105.0,8.0
6390,113.27,8.0
6420,115.4,10.0
6450,104.26,8.0
6480,113.16,6.0
6510,109.22,8.0
6540,87.98,7.0
6570,114.87,7.0
6600,105.25,5.0
6630,113.06,7.0
6660,109.56,5.0
6690,113.42,4.0
6720,116.09,9.0
6750,108.03,6.0
6780,113.47,9.0
6810,117.96,6.0
6840,87.03,8.0
6870,108.96,8.0
6900,107.57,11.0
6930,111.45,10.0
6960,113.76,10.0
6990,111.59,8.0
7020,97.6,12.0
7050,120.23,7.0
7080,111.68,10.0
7110,108.48,10.0
7140,105.23,8.0
7170,110.87,7.0
7200,106.65,11.0
7230,106.28,10.0
7260,105.01,5.0
7290,120.6,7.0
7320,104.54,7.0
7350,104.67,7.0
7380,116.27,6.0
7410,108.83,8.0
7440,100.44,6.0
7470,115.28,4.0
7500,108.83,8.0
7530,93.28,10.0
7560,109.62,7.0
7590,95.13,8.0
7620,108.06,6.0
7650,122.82,3.0
7680,108.2,10.0
7710,108.42,6.0
7740,113.48,8.0
7770,104.81,9.0
7800,113.25,11.0
7830,118.22,8.0
7860,109.68,9.0
7890,106.78,6.0
7920,107.36,10.0
7950,106.01,8.0
7980,108.59,8.0
8010,101.69,6.0
8040,103.61,7.0
8070,119.53,9.0
8100,105.69,7.0
8130,99.44,6.0
8160,108.96,8.0
8190,106.47,8.0
8220,107.78,8.0
8250,110.15,10.0
8280,112.47,9.0
8310,116.45,11.0
8340,118.9,4.0
8370,111.53,6.0
8400,107.33,6.0
8430,114.17,10.0
8460,116.53,5.0
8490,115.86,5.0
8520,111.54,8.0
8550,106.84,9.0
8580,114.22,6.0
8610,102.32,7.0
8640,113.49,7.0
8670,115.04,6.0
8700,117.09,8.0
8730,113.61,10.0
8760,108.62,11.0
8790,104.52,11.0
8820,104.37,12.0
8850,112.33,10.0
8880,110.7,10.0
8910,114.11,9.0
8940,107.88,9.0
8970,110.11,6.0
9000,inf,0.0
