0,inf,0.0
30,inf,0.0
60,111.12,11.0
90,102.59,13.0
120,86.54,11.0
150,93.89,7.0
180,105.26,11.0
210,107.96,13.0
240,101.88,9.0
270,110.28,9.0
300,114.44,12.0
330,107.51,9.0
360,90.1,9.0
390,107.13,12.0
420,108.37,10.0
450,111.71,14.0
480,82.75,14.0
510,94.84,13.0
540,105.59,9.0
570,83.59,14.0
600,100.27,8.0
630,80.7,16.0
660,98.81,11.0
690,112.89,11.0
720,97.42,12.0
750,102.57,12.0
780,102.3,14.0
810,109.51,9.0
840,89.62,12.0
870,103.8,11.0
900,97.66,14.0
930,98.63,11.0
960,111.47,9.0
990,110.59,11.0
1020,113.59,9.0
1050,99.1,9.0
1080,101.81,9.0
1110,100.6,12.0
1140,102.92,10.0
1170,101.29,9.0
1200,104.57,11.0
1230,104.58,9.0
1260,106.99,11.0
1290,116.16,9.0
1320,101.0,12.0
1350,107.28,11.0
1380,101.67,9.0
1410,99.51,12.0
1440,109.38,6.0
1470,92.61,10.0
1500,95.83,14.0
1530,103.73,11.0
1560,108.38,10.0
1590,93.29,12.0
1620,111.21,10.0
1650,105.63,13.0
1680,91.64,12.0
1710,99.34,11.0
1740,103.04,13.0
1770,72.82,9.0
1800,98.81,14.0
1830,102.44,14.0
1860,99.69,13.0
1890,105.17,9.0
1920,93.7,12.0
1950,95.66,13.0
1980,99.05,13.0
2010,87.38,16.0
2040,102.97,11.0
2070,67.48,16.0
2100,92.45,16.0
2130,102.89,9.0
2160,98.4,16.0
2190,103.19,12.0
2220,100.01,13.0
2250,103.99,13.0
2280,104.3,11.0
2310,90.83,14.0
2340,104.3,10.0
2370,93.33,16.0
2400,91.17,16.0
2430,97.33,14.0
2460,94.17,7.0
2490,62.61,17.0
2520,84.2,12.0
2550,96.64,16.0
2580,93.68,13.0
2610,80.25,16.0
2640,109.43,14.0
2670,105.49,11.0
2700,93.52,16.0
2730,101.25,12.0
2760,104.86,8.0
2790,101.94,14.0
2820,106.7,11.0
2850,107.4,11.0
2880,93.2,11.0
2910,107.03,13.0
2940,107.79,12.0
2970,99.85,14.0
3000,101.54,11.0
3030,92.84,15.0
3060,77.64,14.0
3090,71.91,10.0
3120,105.97,12.0
3150,109.95,9.0
3180,110.52,15.0
3210,82.13,17.0
3240,108.27,11.0
3270,92.51,13.0
3300,90.24,15.0
3330,102.6,12.0
3360,105.08,12.0
3390,100.12,16.0
3420,100.82,11.0
3450,100.95,13.0
3480,104.73,16.0
3510,103.4,14.0
3540,108.09,13.0
3570,81.68,10.0
3600,110.32,13.0
3630,111.51,11.0
3660,102.7,12.0
3690,105.53,11.0
3720,103.39,15.0
3750,104.26,13.0
3780,90.37,9.0
3810,103.62,14.0
3840,98.59,10.0
3870,96.88,11.0
3900,105.17,11.0
3930,104.67,13.0
3960,97.7,8.0
3990,86.38,12.0
4020,75.05,8.0
4050,94.41,12.0
4080,89.87,12.0
4110,101.06,9.0
4140,106.66,16.0
4170,107.22,13.0
4200,108.73,12.0
4230,104.87,10.0
4260,86.43,10.0
4290,112.39,10.0
4320,112.74,9.0
4350,115.15,9.0
4380,110.67,9.0
4410,110.42,7.0
4440,114.65,10.0
4470,101.83,11.0
4500,88.64,12.0
4530,79.99,13.0
4560,120.18,7.0
4590,112.73,7.0
4620,103.87,11.0
4650,113.88,10.0
4680,105.22,9.0
4710,112.25,9.0
4740,91.44,9.0
4770,110.88,9.0
4800,114.5,9.0
4830,106.16,11.0
4860,109.21,5.0
4890,92.08,8.0
4920,118.78,5.0
4950,113.5,10.0
4980,106.35,10.0
5010,111.94,10.0
5040,106.47,8.0
5070,105.1,6.0
5100,113.82,11.0
5130,97.69,7.0
5160,111.07,6.0
5190,116.01,5.0
5220,115.96,7.0
5250,106.53,10.0
5280,111.07,5.0
5310,109.5,7.0
5340,110.92,10.0
5370,90.36,6.0
5400,102.34,7.0
5430,120.01,4.0
5460,112.01,7.0
5490,98.11,6.0
5520,106.85,9.0
5550,101.54,7.0
5580,115.55,7.0
5610,105.04,9.0
5640,109.47,11.0
5670,114.27,5.0
5700,111.64,7.0
5730,107.89,9.0
5760,108.09,8.0
5790,95.8,9.0
5820,113.52,11.0
5850,98.59,10.0
5880,110.06,14.0
5910,110.79,10.0
5940,104.61,6.0
5970,99.92,12.0
6000,92.26,12.0
6030,105.68,11.0
6060,110.25,12.0
6090,107.41,9.0
6120,106.56,9.0
6150,117.72,7.0
6180,109.67,9.0
6210,115.62,12.0
6240,108.11,9.0
6270,98.88,12.0
6300,97.85,10.0
6330,100.23,6.0
6360,94.6,13.0
6390,116.09,8.0
6420,111.01,11.0
6450,120.18,2.0
6480,107.8,9.0
6510,122.24,1.0
6540,97.66,8.0
6570,113.73,7.0
6600,110.39,9.0
6630,107.94,11.0
6660,115.68,8.0
6690,112.6,10.0
6720,95.89,10.0
6750,113.25,9.0
6780,113.84,6.0
6810,108.31,12.0
6840,105.78,8.0
6870,97.88,6.0
6900,98.77,6.0
6930,109.41,8.0
6960,114.77,7.0
6990,110.28,9.0
7020,110.05,12.0
7050,105.78,9.0
7080,105.03,10.0
7110,110.51,8.0
7140,88.94,12.0
7170,109.07,11.0
7200,112.39,8.0
7230,78.23,9.0
7260,107.7,10.0
7290,109.38,10.0
7320,104.77,8.0
7350,104.98,9.0
7380,105.89,10.0
7410,101.29,8.0
7440,109.12,8.0
7470,105.75,12.0
7500,105.97,10.0
7530,100.77,7.0
7560,96.57,10.0
7590,117.42,4.0
7620,104.52,8.0
7650,105.87,12.0
7680,108.93,9.0
7710,116.87,6.0
7740,108.65,6.0
7770,107.07,4.0
7800,109.02,13.0
7830,104.41,10.0
7860,101.09,12.0
7890,115.28,4.0
7920,108.89,9.0
7950,114.03,6.0
7980,97.72,9.0
8010,103.58,10.0
8040,106.86,11.0
8070,118.29,9.0
8100,89.07,8.0
8130,97.23,9.0
8160,108.38,9.0
8190,111.17,9.0
8220,117.66,9.0
8250,103.74,11.0
8280,106.55,12.0
8310,114.25,4.0
8340,117.55,9.0
8370,102.27,10.0
8400,110.04,8.0
8430,99.16,7.0
8460,104.38,10.0
8490,119.25,7.0
8520,118.34,9.0
8550,106.74,8.0
8580,106.6,11.0
8610,105.56,10.0
8640,104.02,8.0
8670,111.05,10.0
8700,111.45,5.0
8730,106.47,6.0
8760,108.98,7.0
8790,86.86,11.0
8820,109.1,9.0
8850,106.28,6.0
8880,109.18,7.0
8910,108.0,11.0
8940,115.4,6.0
8970,112.26,9.0
9000,inf,0.0
